x,y1,y2
100.0,0.020393,0.019658
500.0,0.106920,0.101620
1000.0,0.396229,0.375815
1500.0,0.879932,0.835855
2000.0,1.593196,1.522556
2500.0,2.459804,2.353506
3000.0,3.603902,3.439140
